tg_id;id;balance_ap;15353931;20000000;pos
2033193757;8288;3025;0,000197018;3940,358987;279
918056507;45531;3020;0,000196692;3933,845997;280
7137483998;38622;3018;0,000196562;3931,240801;281
98545072;118707;3008;0,000195911;3918,214821;282
5244434378;76218;3007;0,000195846;3916,912223;283
1346892950;82417;3005;0,000195715;3914,307027;284
717740685;7603;2996;0,000195129;3902,583645;285
7350232521;27961;2995;0,000195064;3901,281047;286
476236860;57659;2991;0,000194804;3896,070654;287
5105774902;181685;2983;0,000194282;3885,64987;288
312050934;20093;2981;0,000194152;3883,044674;289
6272755194;95437;2979;0,000194022;3880,439478;290
342896130;51034;2976;0,000193827;3876,531684;291
122767843;48706;2975;0,000193761;3875,229086;292
5748395498;141445;2970;0,000193436;3868,716096;293
7010022103;6723;2969;0,000193371;3867,413498;294
1627390797;236870;2966;0,000193175;3863,505704;295
1407151942;59104;2956;0,000192524;3850,479724;296
734431389;51256;2954;0,000192394;3847,874528;297
1952407363;23895;2952;0,000192263;3845,269332;298
1380577480;114;2950;0,000192133;3842,664136;299
1964210129;24245;2950;0,000192133;3842,664136;300
117371038;88700;2948;0,000192003;3840,05894;301
253575034;6446;2942;0,000191612;3832,243352;302
495708626;25827;2942;0,000191612;3832,243352;303
202047759;55162;2942;0,000191612;3832,243352;304
200002223;60539;2939;0,000191417;3828,335558;305
48283055;153125;2922;0,00019031;3806,191392;306
7219220036;7990;2919;0,000190114;3802,283598;307
1020910674;35227;2914;0,000189789;3795,770608;308
107286470;52046;2908;0,000189398;3787,955019;309
2039948060;68507;2906;0,000189267;3785,349823;310
952531199;170023;2901;0,000188942;3778,836833;311
1395095161;37564;2899;0,000188812;3776,231637;312
6497588209;143958;2897;0,000188681;3773,626441;313
1619949069;21082;2895;0,000188551;3771,021245;314
5160862375;106395;2894;0,000188486;3769,718647;315
886452280;14650;2893;0,000188421;3768,416049;316
565402023;128769;2893;0,000188421;3768,416049;317
6608189728;32373;2880;0,000187574;3751,482275;318
7026315450;42247;2879;0,000187509;3750,179677;319
448464186;88380;2879;0,000187509;3750,179677;320
5895522727;98710;2877;0,000187379;3747,574481;321
503064082;61435;2872;0,000187053;3741,061491;322
6808028965;35876;2868;0,000186793;3735,851099;323
1327115014;63128;2867;0,000186727;3734,548501;324
1018499144;48357;2864;0,000186532;3730,640707;325
1261103060;215188;2861;0,000186337;3726,732913;326
6371964769;83968;2841;0,000185034;3700,680953;327
1487896498;46373;2835;0,000184643;3692,865365;328
390239236;16223;2834;0,000184578;3691,562767;329
828726962;54977;2832;0,000184448;3688,957571;330
368261659;8911;2830;0,000184318;3686,352375;331
546025739;36789;2829;0,000184252;3685,049777;332
1047175098;80812;2824;0,000183927;3678,536786;333
1249205073;77735;2817;0,000183471;3669,4186;334
6699603895;1404;2809;0,00018295;3658,997816;335
6968635540;31213;2806;0,000182755;3655,090022;336
636223759;37025;2804;0,000182624;3652,484826;337
565738775;25708;2803;0,000182559;3651,182228;338
5164482224;6496;2797;0,000182168;3643,36664;339
